Date and time,Mean Discharge (ML/D),Min Discharge (ML/D),Max Discharge (ML/D),Date,High_Flow_Event
1/03/2004 8:00,29.182,0,848.921,2004-03-01,0
1/04/2004 8:00,110.494,3.941,2704.363,2004-04-01,0
1/05/2004 8:00,2.875,0.503,10.45,2004-05-01,0
1/06/2004 8:00,0.804,0.503,0.956,2004-06-01,0
1/07/2004 8:00,0.594,0.024,0.956,2004-07-01,0
1/08/2004 8:00,0.01,0,0.204,2004-08-01,0
1/09/2004 8:00,0.121,0,0.956,2004-09-01,0
1/10/2004 8:00,0.924,0.024,2.236,2004-10-01,0
1/11/2004 8:00,652.799,0.006,12070.022,2004-11-01,1
1/12/2004 8:00,6.578,0.073,44.737,2004-12-01,0
1/01/2005 8:00,1.798,0.073,52.675,2005-01-01,0
1/02/2005 8:00,36.967,0.003,3214.964,2005-02-01,0
1/03/2005 8:00,27.377,0.279,636.193,2005-03-01,0
1/04/2005 8:00,205.78,0.051,3634.492,2005-04-01,0
1/05/2005 8:00,8.768,0.305,39.982,2005-05-01,0
1/06/2005 8:00,185.989,0.208,7153.228,2005-06-01,0
1/07/2005 8:00,479.145,0.608,19458.254,2005-07-01,1
1/08/2005 8:00,84.05,4.445,2498.333,2005-08-01,0
1/09/2005 8:00,1.911,0.736,4.445,2005-09-01,0
1/10/2005 8:00,1.871,0.491,14.23,2005-10-01,0
1/11/2005 8:00,38.047,0.378,1426.578,2005-11-01,0
1/12/2005 8:00,60.952,1.57,1653.329,2005-12-01,0
1/01/2006 8:00,8.628,0.524,106.313,2006-01-01,0
1/02/2006 8:00,1.873,0.363,23.352,2006-02-01,0
1/03/2006 8:00,0.581,0.212,21.858,2006-03-01,0
1/04/2006 8:00,3.798,0.257,37.03,2006-04-01,0
1/05/2006 8:00,0.186,0.03,0.348,2006-05-01,0
1/06/2006 8:00,0,0,0.03,2006-06-01,0
1/07/2006 8:00,0,0,0,2006-07-01,0
1/08/2006 8:00,0.212,0,2.032,2006-08-01,0
1/09/2006 8:00,34.652,0.378,440.417,2006-09-01,0
1/10/2006 8:00,163.459,1.852,3286.636,2006-10-01,0
1/11/2006 8:00,0.827,0.333,2.925,2006-11-01,0
1/12/2006 8:00,4.452,0.333,74.936,2006-12-01,0
1/01/2007 8:00,0.433,0.121,1.411,2007-01-01,0
