Year,mean_flow.Jul_Sept,mean_flow.Oct_Dec,mean_flow.Jan_Mar
1996,19.337333333333333,24.265333333333334,55.443666666666665
1997,64.09333333333333,9.204666666666666,21.133666666666667
1998,200.18099999999998,105.70299999999999,2.8736666666666664
1999,985.5799999999999,67.72733333333333,124.63433333333333
2000,13.659,36.76866666666667,60.084666666666664
2001,10.545666666666667,8.153,13.539666666666667
2002,18.330000000000002,0.454,143.203
2003,12.103333333333333,0.8013333333333333,18.650666666666666
2004,0.24166666666666667,220.10033333333334,12.333333333333332
2005,188.36866666666666,33.623333333333335,22.047333333333334
2006,11.621333333333334,56.246,3.694
2007,258.5276666666667,57.01866666666667,0.20633333333333334
2008,33.025666666666666,97.936,156.36733333333333
2009,109.53766666666667,82.36333333333333,210.065
2010,40.51266666666667,53.717999999999996,20.224333333333334
2011,377.8796666666667,125.72866666666665,44.867666666666665
2012,40.647,0.445,307.4393333333333
2013,70.47166666666666,5.808333333333333,338.81666666666666
2014,10.958,2.4726666666666666,1.1846666666666665
2015,3.9563333333333333,29.846666666666664,2.9589999999999996
2016,112.54766666666667,3.8579999999999997,172.15933333333334
2017,12.846333333333334,2.021,0.18833333333333332
2018,6.852666666666667,12.265333333333334,0.777
2019,0.009,0,20.61733333333333
2020,52.83033333333333,1.3833333333333333,303.74766666666665
2021,40.27066666666667,64.16366666666666,442.13766666666663
