Date,Est_code,Zone,Site,Rep,Sample_code,Period_code,Sp_code,CL_mm,Sex,Gonad_stage,Gear,Author,Moult_stage,Egg_Stage,Notes/ Label Names,,
181101,PST,,3,2,181101.PST.3.2,201811,PORARM,60,F,MATURE,BEAM TRAWL,HANAMSETH,SOFT,,,,
181101,PST,,3,2,181101.PST.3.2,201811,PORARM,63,M,MATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181101,PST,,3,3,181101.PST.3.3,201811,PORARM,58,M,MATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181101,PST,,3,4,181101.PST.3.4,201811,PORARM,60,M,MATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181101,PST,,4,2,181101.PST.4.2,201811,PORARM,71,M,MATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181101,PST,,4,4,181101.PST.4.4,201811,PORARM,63,F,MATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181101,PST,,4,5,181101.PST.4.5,201811,PORARM,45,M,IMMATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181101,PST,,4,5,181101.PST.4.5,201811,PORARM,60,F,MATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181101,PST,,4,5,181101.PST.4.5,201811,PORARM,62,M,MATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181101,PST,,3,1,181101.PST.3.1,201811,PORARM,66,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,10,181101.PST.3.10,201811,PORARM,56,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,10,181101.PST.3.10,201811,PORARM,60,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,10,181101.PST.3.10,201811,PORARM,61,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,10,181101.PST.3.10,201811,PORARM,71,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,2,181101.PST.3.2,201811,PORARM,56,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,2,181101.PST.3.2,201811,PORARM,62,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,2,181101.PST.3.2,201811,PORARM,62,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,2,181101.PST.3.2,201811,PORARM,66,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,2,181101.PST.3.2,201811,PORARM,67,F,BERRIED,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,3,181101.PST.3.3,201811,PORARM,47,F,IMMATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,3,181101.PST.3.3,201811,PORARM,52,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,3,181101.PST.3.3,201811,PORARM,56,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,3,181101.PST.3.3,201811,PORARM,57,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,3,181101.PST.3.3,201811,PORARM,63,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,3,181101.PST.3.3,201811,PORARM,65,F,BERRIED,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,4,181101.PST.3.4,201811,PORARM,46,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,4,181101.PST.3.4,201811,PORARM,49,F,IMMATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,4,181101.PST.3.4,201811,PORARM,54,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,4,181101.PST.3.4,201811,PORARM,60,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,4,181101.PST.3.4,201811,PORARM,61,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,4,181101.PST.3.4,201811,PORARM,62,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,4,181101.PST.3.4,201811,PORARM,65,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181101,PST,,3,5,181101.PST.3.5,201811,PORARM,41,F,IMMATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,5,181101.PST.3.5,201811,PORARM,63,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181101,PST,,3,5,181101.PST.3.5,201811,PORARM,64,M,MATURE,LARGE,HANAMSETH,HARD,,,,
