Location,Year,Month,count,DownWind,Date,UpWind,Ratio
32.1806,1996,1,744,8404.459069148961,1996-01-15,1470.7113941899004,5.714553584306946
32.1806,1996,2,696,13416.926908946029,1996-02-15,-970.8576105691316,-13.81966496722503
32.1806,1996,3,744,12586.111796390893,1996-03-15,1248.3616668457903,10.08210371293438
32.1806,1996,4,720,-3241.059286907609,1996-04-15,-1970.8126651840855,1.6445293579462943
32.1806,1996,5,744,5533.67624820968,1996-05-15,-953.5334944300594,-5.803337041156837
32.1806,1996,6,720,-9407.949657669844,1996-06-15,-5035.837718915297,1.868199529609998
32.1806,1996,7,744,-16240.934616309803,1996-07-15,-5599.118980808497,2.9006232359014197
32.1806,1996,8,744,-12777.348825362798,1996-08-15,-3798.648339212253,3.3636566705757525
32.1806,1996,9,720,-13210.628505534853,1996-09-15,-1960.7717488912376,6.737463711931334
32.1806,1996,10,744,2632.2403483059825,1996-10-15,2374.85347995408,1.1083801045093862
32.1806,1996,11,720,5136.459013878143,1996-11-15,229.35008447785532,22.395714505935093
32.1806,1996,12,744,5407.033423699186,1996-12-15,3965.3134075379207,1.3635828667213559
32.1806,1997,1,744,9671.841908408667,1997-01-15,3970.793485092115,2.4357453855811135
32.1806,1997,2,672,9117.859100688063,1997-02-15,1273.1457595263776,7.16167731185783
32.1806,1997,3,744,5122.882563679359,1997-03-15,1123.840162678839,4.558372919747067
32.1806,1997,4,720,2300.46584657325,1997-04-15,67.63476362049444,34.01306847882841
32.1806,1997,5,744,-1300.4754366192406,1997-05-15,-5658.162397037577,0.22984059936139792
32.1806,1997,6,720,-4457.636503939062,1997-06-15,-7440.920013765101,0.5990706116572674
32.1806,1997,7,744,-6142.495186811304,1997-07-15,-7057.562072344812,0.8703423538959417
32.1806,1997,8,744,-11025.562485651244,1997-08-15,-2684.3187627403713,4.1073968705547665
32.1806,1997,9,720,-773.1151992103134,1997-09-15,-3862.323304858104,0.20016843184460356
32.1806,1997,10,744,-394.67164991927154,1997-10-15,1634.3005480174077,-0.24149269875608445
32.1806,1997,11,720,6042.899196681174,1997-11-15,3647.787107446102,1.6565931669493574
32.1806,1997,12,744,5811.144949147281,1997-12-15,5478.875472667726,1.0606455609617587
32.1806,1998,1,744,4869.809046692697,1998-01-15,7057.668138361989,0.6900025548414251
32.1806,1998,2,672,5222.372487792307,1998-02-15,3888.6276771182384,1.3429859892532763
32.1806,1998,3,744,8009.46922117814,1998-03-15,435.22422382031885,18.40308692120232
32.1806,1998,4,720,-1308.642519941941,1998-04-15,3.4648232278128153,-377.69387755115787
32.1806,1998,5,744,-7249.294076063549,1998-05-15,-7361.158368847257,0.9848034389183742
32.1806,1998,6,720,-12364.22168845456,1998-06-15,-8549.94628937808,1.4461168842446528
32.1806,1998,7,744,-14737.0245587432,1998-07-15,-5336.605588292991,2.7614977938545953
32.1806,1998,8,744,1053.3416165945423,1998-08-15,-2429.512834139799,-0.4335608364742357
32.1806,1998,9,720,-2444.927761969668,1998-09-15,2226.57318793926,-1.0980675484700773
32.1806,1998,10,744,-3877.8796540442017,1998-10-15,-568.195654022449,6.824901997386607
32.1806,1998,11,720,11268.453664988823,1998-11-15,-366.1398912983956,-30.776361529547987
32.1806,1998,12,744,8563.876292967454,1998-12-15,4159.166731600213,2.059036544003264
32.1806,1999,1,744,6838.500391533222,1999-01-15,4760.101429591599,1.4366291333670052
32.1806,1999,2,672,16526.146136501397,1999-02-15,1534.7045578872808,10.768291559159616
32.1806,1999,3,744,7245.793897496671,1999-03-15,1604.495997190393,4.51593142655679
32.1806,1999,4,720,5332.469013623047,1999-04-15,-7028.464628298988,-0.7586961442692213
32.1806,1999,5,744,-1749.4528873336403,1999-05-15,-1341.028010520287,1.3045610334827342
32.1806,1999,6,720,-5287.178824288048,1999-06-15,-5203.740224108041,1.0160343515599513
32.1806,1999,7,744,-104.26289488595624,1999-07-15,-7018.565133362376,0.014855300607006995
32.1806,1999,8,744,-4964.84419808417,1999-08-15,-1217.8146538985304,4.076847147626658
32.1806,1999,9,720,-2352.1199969389327,1999-09-15,2517.017298311635,-0.9344870210135973
32.1806,1999,10,744,188.9035765939866,1999-10-15,2460.55482183389,0.07677275666355356
32.1806,1999,11,720,9127.935372319966,1999-11-15,-410.5815524959684,-22.23172306897445
32.1806,1999,12,744,4058.616147315484,1999-12-15,3926.52860058984,1.0336397770554382
32.1806,2000,1,744,14747.73722647818,2000-01-15,-176.8827613138158,-83.37577453527847
32.1806,2000,2,696,1804.395084231828,2000-02-15,9513.626766118166,0.189664270902239
32.1806,2000,3,744,4637.100205004215,2000-03-15,3868.545844532544,1.1986675074712834
32.1806,2000,4,720,6816.968990046091,2000-04-15,-902.9400042361626,-7.549747445083985
32.1806,2000,5,744,-10088.999553969665,2000-05-15,-4046.1357126275434,2.493490152216845
32.1806,2000,6,720,-11562.150466554656,2000-06-15,-7400.47350588123,1.5623527950429252
32.1806,2000,7,744,-8050.834967877558,2000-07-15,-7234.692321032044,1.11280958617589
32.1806,2000,8,744,-12403.25398277606,2000-08-15,-4533.226218847896,2.7360765565165868
32.1806,2000,9,720,-6309.655229883812,2000-09-15,-629.2543245779136,10.027194066749011
32.1806,2000,10,744,892.8637326042647,2000-10-15,3200.718845040909,0.2789572517397581
32.1806,2000,11,720,4841.0651560374645,2000-11-15,6665.259230142518,0.7263131093453287
32.1806,2000,12,744,5575.148060926278,2000-12-15,3689.152854145517,1.5112271790694334
32.1806,2001,1,744,9501.075620752115,2001-01-15,7213.30234090115,1.3171603201599833
