Date and time,Mean Discharge (ML/D),Min Discharge (ML/D),Max Discharge (ML/D)
1/12/1980 8:00,2.513,0,205.02
1/01/1981 8:00,0.017,0,0.15
1/02/1981 8:00,0,0,0
1/03/1981 8:00,20.353,0,335.332
1/04/1981 8:00,0.528,0,3.891
1/05/1981 8:00,228.54,0,6916.338
1/06/1981 8:00,365.058,1.246,15909.418
1/07/1981 8:00,7.493,2.935,28.174
1/08/1981 8:00,1.339,0.804,2.935
1/09/1981 8:00,0.604,0.175,1.196
1/10/1981 8:00,0.104,0,0.23
1/11/1981 8:00,3.658,0,122.516
1/12/1981 8:00,83.66,0.616,1670.56
1/01/1982 8:00,4.504,0,91.974
1/02/1982 8:00,62.017,0,1720.806
1/03/1982 8:00,43.353,0.03,1787.023
1/04/1982 8:00,530.615,33.903,7341.921
1/05/1982 8:00,18.164,2.001,245.466
1/06/1982 8:00,1.414,0.447,2.001
1/07/1982 8:00,1.846,0.66,4.597
1/08/1982 8:00,11.837,0.329,74.654
1/09/1982 8:00,1.125,0.261,3.763
1/10/1982 8:00,95.808,0.128,1525.585
1/11/1982 8:00,363.116,6.194,9005.989
1/12/1982 8:00,2.203,0.804,6.549
1/01/1983 8:00,0.534,0.083,1.347
1/02/1983 8:00,3.372,0,107.418
1/03/1983 8:00,0,0,0
1/04/1983 8:00,128.232,0,6518.236
1/05/1983 8:00,94.675,1.1,1730.038
1/06/1983 8:00,202.513,6.077,2443.051
1/07/1983 8:00,46.6,9.392,397.047
1/08/1983 8:00,11.476,6.311,44.087
1/09/1983 8:00,7.33,1.851,82.776
1/10/1983 8:00,2.006,0.707,6.549
1/11/1983 8:00,97.784,0.572,3343.795
1/12/1983 8:00,3.285,1.006,15.046
1/01/1984 8:00,22.934,1.556,380.16
1/02/1984 8:00,124.191,2.631,4759.728
1/03/1984 8:00,86.165,2.135,1892.269
1/04/1984 8:00,39.098,1.609,1151.085
1/05/1984 8:00,198.223,5.401,8299.351
1/06/1984 8:00,5.887,2.558,21.167
1/07/1984 8:00,34.144,2.001,378.497
1/08/1984 8:00,196.052,7.289,10818.171
1/09/1984 8:00,10.416,1.009,54.491
1/10/1984 8:00,1.558,0.66,2.858
1/11/1984 8:00,56.261,0.202,2195.525
1/12/1984 8:00,577.44,3.588,13839.081
1/01/1985 8:00,2.261,0.175,14.673
1/02/1985 8:00,0.114,0,0.447
1/03/1985 8:00,325.411,0,7400.103
1/04/1985 8:00,6.362,1.052,40.181
1/05/1985 8:00,82.168,0.531,1603.599
1/06/1985 8:00,508.492,17.588,11157.928
1/07/1985 8:00,47.753,11.972,192.259
1/08/1985 8:00,548.197,7.038,11333.35
1/09/1985 8:00,6.623,3.675,11.801
1/10/1985 8:00,111.76,3.013,4655.46
