Date and time,Mean Discharge (ML/D),Min Discharge (ML/D),Max Discharge (ML/D)
1/09/2019 8:00,0,0,0
1/10/2019 8:00,0,0,0
1/11/2019 8:00,0,0,0
1/12/2019 8:00,0,0,0
1/01/2020 8:00,0,0,0
1/02/2020 8:00,67.238,0,9189.041
1/03/2020 8:00,844.005,0,20625.533
1/04/2020 8:00,193.353,4.495,3394.279
1/05/2020 8:00,13.808,0,135.221
1/06/2020 8:00,1.119,0.601,2.804
1/07/2020 8:00,28.791,0.891,416.224
1/08/2020 8:00,111.689,1.039,4753.797
1/09/2020 8:00,18.011,1.577,151.531
1/10/2020 8:00,0.932,0.187,4.026
1/11/2020 8:00,1.734,0.081,54.77
1/12/2020 8:00,1.484,0.151,9.348
1/01/2021 8:00,247.914,0,5339.714
1/02/2021 8:00,402.7,5.549,6046.622
1/03/2021 8:00,675.799,14.036,8529.655
1/04/2021 8:00,2556.523,18.869,36146.587
1/05/2021 8:00,59.14,11.476,581.645
1/06/2021 8:00,13.672,5.452,153.103
1/07/2021 8:00,58.479,4.71,918.546
1/08/2021 8:00,59.843,4.534,1393.032
1/09/2021 8:00,2.49,1.216,4.982
1/10/2021 8:00,1.406,0.755,2.853
1/11/2021 8:00,4.289,0.949,44.828
1/12/2021 8:00,186.796,0.593,4060.869
1/01/2022 8:00,53.054,5.167,1645.51
1/02/2022 8:00,3.983,1.034,11.616
1/03/2022 8:00,,,
