lat (degrees_north),lon (degrees_east),time (UTC),old SST,new SST
-32.23,152.61,2000-12-16T09:20:00Z,295.75082,
-32.23,152.61,2001-01-16T09:20:00Z,295.62567,
-32.23,152.61,2001-02-14T21:20:00Z,295.45346,
-32.23,152.61,2001-03-16T09:20:00Z,295.1022,
-32.23,152.61,2001-04-15T21:20:00Z,296.70932,
-32.23,152.61,2001-05-16T09:20:00Z,295.2975,
-32.23,152.61,2001-06-15T21:20:00Z,294.2987,
-32.23,152.61,2001-07-16T09:20:00Z,293.0234,
-32.23,152.61,2001-08-16T09:20:00Z,292.247,
-32.23,152.61,2001-09-15T21:20:00Z,291.59457,
-32.23,152.61,2001-10-16T09:20:00Z,291.68423,
-32.23,152.61,2001-11-15T21:20:00Z,292.75012,
-32.23,152.61,2001-12-16T09:20:00Z,296.49734,
-32.23,152.61,2002-01-16T09:20:00Z,299.10724,
-32.23,152.61,2002-02-14T21:20:00Z,296.59302,
-32.23,152.61,2002-03-16T09:20:00Z,297.9075,
-32.23,152.61,2002-04-15T21:20:00Z,296.62515,
-32.23,152.61,2002-05-16T09:20:00Z,296.18976,
-32.23,152.61,2002-06-15T21:20:00Z,293.56943,
-32.23,152.61,2002-07-16T09:20:00Z,291.83295,
-32.23,152.61,2002-08-16T09:20:00Z,291.20422,
-32.23,152.61,2002-09-15T21:20:00Z,291.29446,
-32.23,152.61,2002-10-16T09:20:00Z,291.52515,
-32.23,152.61,2002-11-15T21:20:00Z,292.43073,
-32.23,152.61,2002-12-16T09:20:00Z,295.13736,
-32.23,152.61,2003-01-16T09:20:00Z,295.35,
-32.23,152.61,2003-02-14T21:20:00Z,294.60428,
-32.23,152.61,2003-03-16T09:20:00Z,296.57526,
-32.23,152.61,2003-04-15T21:20:00Z,295.43652,
-32.23,152.61,2003-08-16T09:20:00Z,290.45316,
-32.23,152.61,2003-09-15T21:20:00Z,291.61862,
-32.23,152.61,2003-11-15T21:20:00Z,292.2737,
-32.23,152.61,2003-12-16T09:20:00Z,295.42572,
-32.23,152.61,2004-01-16T09:20:00Z,295.20383,
-32.23,152.61,2004-02-15T09:20:00Z,297.6663,
-32.23,152.61,2004-03-16T09:20:00Z,296.86917,
-32.23,152.61,2004-04-15T21:20:00Z,294.8977,
-32.23,152.61,2004-05-16T09:20:00Z,293.81738,
-32.23,152.61,2004-06-15T21:20:00Z,292.11578,
-32.23,152.61,2004-07-16T09:20:00Z,291.00067,
-32.23,152.61,2004-08-16T09:20:00Z,291.10992,
-32.23,152.61,2004-09-15T21:20:00Z,291.7992,
-32.23,152.61,2004-10-16T09:20:00Z,292.7524,
-32.23,152.61,2004-11-15T21:20:00Z,293.07455,
-32.23,152.61,2004-12-16T09:20:00Z,293.57434,
-32.23,152.61,2005-01-16T09:20:00Z,296.0259,
-32.23,152.61,2005-02-14T21:20:00Z,294.67862,
-32.23,152.61,2005-03-16T09:20:00Z,296.4684,
