Location,Year,Month,count,DownWind
32.1806,1996,1,744,8404.459069148961
32.1806,1996,2,696,13416.926908946029
32.1806,1996,3,744,12586.111796390893
32.1806,1996,4,720,-3241.059286907609
32.1806,1996,5,744,5533.67624820968
32.1806,1996,6,720,-9407.949657669844
32.1806,1996,7,744,-16240.934616309805
32.1806,1996,8,744,-12777.348825362798
32.1806,1996,9,720,-13210.628505534853
32.1806,1996,10,744,2632.2403483059825
32.1806,1996,11,720,5136.459013878143
32.1806,1996,12,744,5407.033423699186
32.1806,1997,1,744,9671.841908408669
32.1806,1997,2,672,9117.859100688063
32.1806,1997,3,744,5122.882563679359
32.1806,1997,4,720,2300.46584657325
32.1806,1997,5,744,-1300.4754366192406
32.1806,1997,6,720,-4457.636503939062
32.1806,1997,7,744,-6142.495186811304
32.1806,1997,8,744,-11025.562485651244
32.1806,1997,9,720,-773.1151992103134
32.1806,1997,10,744,-394.67164991927154
32.1806,1997,11,720,6042.899196681174
32.1806,1997,12,744,5811.144949147281
32.1806,1998,1,744,4869.809046692697
32.1806,1998,2,672,5222.372487792307
32.1806,1998,3,744,8009.46922117814
32.1806,1998,4,720,-1308.642519941941
32.1806,1998,5,744,-7249.294076063549
32.1806,1998,6,720,-12364.22168845456
32.1806,1998,7,744,-14737.0245587432
32.1806,1998,8,744,1053.3416165945423
32.1806,1998,9,720,-2444.927761969668
32.1806,1998,10,744,-3877.8796540442017
32.1806,1998,11,720,11268.453664988823
32.1806,1998,12,744,8563.876292967454
32.1806,1999,1,744,6838.500391533222
32.1806,1999,2,672,16526.146136501397
32.1806,1999,3,744,7245.793897496671
32.1806,1999,4,720,5332.469013623047
32.1806,1999,5,744,-1749.4528873336403
32.1806,1999,6,720,-5287.178824288048
32.1806,1999,7,744,-104.26289488595624
32.1806,1999,8,744,-4964.84419808417
32.1806,1999,9,720,-2352.1199969389327
32.1806,1999,10,744,188.9035765939866
32.1806,1999,11,720,9127.935372319966
32.1806,1999,12,744,4058.616147315484
32.1806,2000,1,744,14747.737226478179
32.1806,2000,2,696,1804.3950842318282
32.1806,2000,3,744,4637.100205004215
32.1806,2000,4,720,6816.968990046091
32.1806,2000,5,744,-10088.999553969665
